visit_ID,recorder_id,transect_ID,date,start_time,end_time,temperature,cloud,wind,completed
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,9b98f4cf-9e65-41ea-8601-3461032583e9,20cb4183-0697-4b6d-95fd-ea16099c83c8,2011-06-30T00:00:00Z,14:55:00,16:14:00,24,20,NA,1
004d7896-92e2-409d-beb1-5c72cdfde22b,76839443-42d3-4a0c-8e3a-34a721b9583d,cce42c93-eeba-4c5b-b55d-ab2eb0e5665d,2013-07-20T00:00:00Z,12:15:00,13:20:00,22,0,NA,1
005b7cff-0266-4eb6-9f99-4d6f37b706da,fc6b9ecf-7ef5-40b0-9681-a877229b0a54,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,2016-06-09T00:00:00Z,13:00:00,17:30:00,20.77777777777778,17.22222222222222,NA,1
008d7abe-c1b4-4e4a-8a5e-00327a397e2e,a939d930-19ad-44c4-9398-1ea4433245af,e3756fff-25d6-430c-b910-25dd1eea669b,2011-08-03T00:00:00Z,13:10:00,14:30:00,24,46.666666666666664,NA,1
009cf41c-d4d3-4604-83e5-e1f12d7ac63c,6a478010-ea66-452f-be04-01393f094077,911293b2-2767-45af-a524-afb202fd0b16,2014-05-22T00:00:00Z,12:30:00,14:30:00,25,15,NA,1
00ef24d4-ca4d-4aa8-a053-9d7306b1536c,99c120bf-8c5c-49d3-bfd1-934cb6c22d83,7bb92922-409e-450a-bba7-433a911c2588,2014-07-10T00:00:00Z,14:54:00,16:38:00,27,0,NA,1
013b0437-4d4c-488e-a53c-d09a5dd30eb6,2b780a04-1036-4d89-9ff0-6b1e67fbe8a0,a2834b8c-84e3-4eaf-9d88-e688a6157329,2019-06-29T00:00:00Z,13:30:00,14:30:00,25,40,NA,1
018d499b-ea40-461a-bbc2-ec322e9f1368,c2f4a043-e2eb-42c9-bcc1-ec107d116814,ccf55543-4373-463d-9d12-4b153f08957c,2015-06-12T00:00:00Z,11:00:00,14:11:00,17,30,NA,1
01a22c7a-7d72-4d31-9732-405f4e0944b7,c2f4a043-e2eb-42c9-bcc1-ec107d116814,ccf55543-4373-463d-9d12-4b153f08957c,2019-06-11T00:00:00Z,12:00:00,14:31:00,15,10,NA,1
01a6668a-b06c-42e2-afac-33af334f691b,a6495896-d41b-4998-93c1-5fd85b35d1f1,df94d08e-b569-4e7d-b30c-dacb53e6fb03,2018-05-18T00:00:00Z,15:30:00,17:11:00,19.5,0,NA,1
01ce94cf-6a9f-4208-b480-fc3a57c781d8,ef323094-1f26-48d2-8e97-fe3a305b981c,5e85d80f-fd76-4de1-bcd5-2bedfb5138fc,2016-08-05T00:00:00Z,13:26:00,14:40:00,19,60,NA,1
0207a1ef-89d9-4ef0-97d8-83c275b95973,6a478010-ea66-452f-be04-01393f094077,2287ad7a-008e-433e-92ee-db69cab29a47,2014-08-02T00:00:00Z,13:30:00,16:01:00,25,30,NA,1
022d6d9f-f450-4e55-8528-ae78a3669b66,76839443-42d3-4a0c-8e3a-34a721b9583d,20cb4183-0697-4b6d-95fd-ea16099c83c8,2012-08-12T00:00:00Z,15:00:00,15:51:00,19,10,NA,1
0262797f-3f26-4360-a0e0-409b643343b2,f35304ca-96ed-434f-9a3b-8b9ccf804127,8d59235c-8048-43fe-8e11-f1d673a7e973,2017-08-12T00:00:00Z,14:00:00,15:40:00,18.5,60,NA,1
0284bf3d-7a0d-406f-82f0-8a1a857e202a,c2f4a043-e2eb-42c9-bcc1-ec107d116814,1329b5f8-c24b-4afa-9bd1-05fcd1929153,2015-06-05T00:00:00Z,10:50:00,13:50:00,16,10,NA,1
028756cf-6a89-4247-bcc1-ea05e70c8f73,ce3db7f3-8e34-415a-8be4-b09857b1eeac,4f0c9459-aadb-427c-86b3-10ee40eb8a64,2015-07-02T00:00:00Z,10:10:00,11:15:00,20,5,NA,1
03429289-1176-4165-b65c-c18538eab64c,c5ea2325-5c82-4884-a7db-9ed7138ba483,3db0dd05-629a-48a1-9394-df4ac36a951f,2020-08-17T00:00:00Z,11:15:00,13:10:00,18,0,NA,1
03632bbd-c2b4-48ad-be14-94d075dc6b78,ce3db7f3-8e34-415a-8be4-b09857b1eeac,6411c206-a7cf-499b-91f7-c4e946c03728,2019-06-06T00:00:00Z,12:00:00,13:00:00,21,10,NA,1
03c80045-69c2-4615-b1f5-0002dbcf08d2,e67031d2-1c93-44d3-b597-c47242aab90b,e4e13f63-ed56-41a6-bf84-ea6f3fc46c90,2010-06-23T00:00:00Z,14:10:00,15:50:00,14,40,NA,1
04066c76-97d7-451d-8b01-eab8fe6eea10,d19dcdaf-98d1-473b-ba25-72e9d78ecb6a,553685f8-0303-4f49-bcbb-9f6ca5de9d9c,2020-06-26T00:00:00Z,09:45:00,10:50:00,22,0,NA,1
046274f2-ef1a-436a-bf9c-d1e73e3853c1,fc6b9ecf-7ef5-40b0-9681-a877229b0a54,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,2011-08-10T00:00:00Z,12:00:00,14:00:00,20,40,NA,1
047d5347-c4b1-4884-9052-dabc5106390d,3347a291-889e-46b2-8c84-9c1480370eed,27a24f9d-2395-45d8-bf83-4f58afb265dc,2009-05-30T00:00:00Z,09:40:00,11:10:00,17,2.5,NA,1
04a10677-0bef-4c41-b6a6-84cd2f788317,ce3db7f3-8e34-415a-8be4-b09857b1eeac,4f0c9459-aadb-427c-86b3-10ee40eb8a64,2015-07-13T00:00:00Z,12:30:00,13:41:00,20,15,NA,1
04a15a5c-dd60-470c-98df-fcdf6c998ba4,aba047ca-568a-4b98-807b-efe5616a834f,67ebbd07-30b9-4c6d-8a7f-c14f1723e5c2,2014-08-15T00:00:00Z,14:56:00,15:52:00,21,30,NA,1
04c08a15-82ca-4794-9f66-5d1513685a6a,aba047ca-568a-4b98-807b-efe5616a834f,303753c0-e2c6-4fdd-8a7a-b74f6251546a,2010-06-28T00:00:00Z,12:44:00,16:52:00,20,10,NA,1
04db3f54-3127-40d0-9f87-6d704e9ea6a8,ef323094-1f26-48d2-8e97-fe3a305b981c,5788b859-012b-4450-9606-0b0df9bee9c9,2018-07-10T00:00:00Z,16:08:00,17:50:00,24,0,NA,1
05118996-9f05-4df9-9ca6-3e4d91ea3d9f,ce3db7f3-8e34-415a-8be4-b09857b1eeac,4f0c9459-aadb-427c-86b3-10ee40eb8a64,2016-08-04T00:00:00Z,10:50:00,12:30:00,20,40,NA,1
053c3d58-6487-4b8a-96b4-eb2594bcee84,99c120bf-8c5c-49d3-bfd1-934cb6c22d83,7bb92922-409e-450a-bba7-433a911c2588,2017-07-01T00:00:00Z,12:50:00,14:15:00,25,0,NA,1
054ba121-507f-4efe-8f45-19285fca1507,56239ba0-9c93-40aa-8a2c-738d43241a76,86d61ed2-be27-4247-afbf-2d79e4ed0211,2013-07-28T00:00:00Z,15:40:00,16:45:00,25,25,NA,1
05739c6f-0711-4fe8-8271-2b9021670058,6a478010-ea66-452f-be04-01393f094077,911293b2-2767-45af-a524-afb202fd0b16,2016-07-17T00:00:00Z,12:00:00,13:30:00,17,40,NA,1
058fa094-ad7d-436b-b9c0-b925a480c61b,99c120bf-8c5c-49d3-bfd1-934cb6c22d83,7bb92922-409e-450a-bba7-433a911c2588,2013-06-06T00:00:00Z,12:05:00,13:45:00,16.333333333333332,26.666666666666668,NA,1
059ba0ea-da5b-475e-ab7a-eecd5e368eae,812b2ba2-5065-4213-83b2-20a2f9a05a91,2287ad7a-008e-433e-92ee-db69cab29a47,2019-07-28T00:00:00Z,14:00:00,15:12:00,30,0,NA,1
06222313-9fb6-403c-ad3f-0215a51c469c,51ab634c-db9d-4f9e-96d0-dbd5efbde8ad,e93b061a-7627-423c-bbab-c76faffb0bdb,2016-07-22T00:00:00Z,13:00:00,14:45:00,24,40,NA,1
