visit_ID,transect_ID,section_ID,date,species_name,count
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,154dfcd1-1e7f-4070-9c39-00b4cc96ede9,2011-06-30,Lasiommata maera,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,4921b31a-c809-4871-9873-21142f36e5b8,2011-06-30,Lasiommata maera,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,8def0400-35ff-4abe-a4c4-33394f62eaaf,2011-06-30,Agriades optilete,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,8def0400-35ff-4abe-a4c4-33394f62eaaf,2011-06-30,Argynnis paphia,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,8def0400-35ff-4abe-a4c4-33394f62eaaf,2011-06-30,Lasiommata maera,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,8def0400-35ff-4abe-a4c4-33394f62eaaf,2011-06-30,Ochlodes sylvanus,2
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,9deaa4a8-a73c-4b15-bb07-0f93be996c96,2011-06-30,Argynnis paphia,2
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,9deaa4a8-a73c-4b15-bb07-0f93be996c96,2011-06-30,Lasiommata maera,3
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,9deaa4a8-a73c-4b15-bb07-0f93be996c96,2011-06-30,Plebejus argus/idas,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,aa351fa3-efde-4b90-b1ce-838ee4baf345,2011-06-30,Lasiommata maera,3
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,aa351fa3-efde-4b90-b1ce-838ee4baf345,2011-06-30,Melitaea athalia,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,aa351fa3-efde-4b90-b1ce-838ee4baf345,2011-06-30,Ochlodes sylvanus,2
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,b8a292dc-7702-4ab9-9407-3cf9eec92de5,2011-06-30,Agriades optilete,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,b8a292dc-7702-4ab9-9407-3cf9eec92de5,2011-06-30,Lasiommata maera,4
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,be42c84a-04c8-4485-b9ae-85a85fe5df90,2011-06-30,Argynnis paphia,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,be42c84a-04c8-4485-b9ae-85a85fe5df90,2011-06-30,Lasiommata maera,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,be42c84a-04c8-4485-b9ae-85a85fe5df90,2011-06-30,Ochlodes sylvanus,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,c38eb759-1396-41d9-80c3-71f8ef7c0758,2011-06-30,Plebejus argus/idas,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,d48c25c3-b83b-49ea-96c0-127101d367d7,2011-06-30,Lasiommata maera,3
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,d48c25c3-b83b-49ea-96c0-127101d367d7,2011-06-30,Ochlodes sylvanus,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,f09a169f-0fe2-4568-8d1d-f33cff8b221f,2011-06-30,Lasiommata maera,4
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,f09a169f-0fe2-4568-8d1d-f33cff8b221f,2011-06-30,Ochlodes sylvanus,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,f427cf94-9991-40d8-ba3c-69d1c49555bc,2011-06-30,Plebejus argus/idas,2
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,fbee72bb-471e-44ed-80ef-49afa5cc2202,2011-06-30,Argynnis paphia,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,fbee72bb-471e-44ed-80ef-49afa5cc2202,2011-06-30,Lasiommata maera,1
00161ef1-3471-4aba-9b0d-b69ffcf8fdca,20cb4183-0697-4b6d-95fd-ea16099c83c8,fbee72bb-471e-44ed-80ef-49afa5cc2202,2011-06-30,Ochlodes sylvanus,1
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,598eb31d-1fdd-474f-a22e-00fc6dc8fd4d,2016-06-09,Boloria euphrosyne,3
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,6b881f73-aafb-46cd-86c7-6faaa05ef5f4,2016-06-09,Boloria euphrosyne,1
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,855b8627-9406-4d37-80d9-3024f5b62d8d,2016-06-09,Boloria euphrosyne,8
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,855b8627-9406-4d37-80d9-3024f5b62d8d,2016-06-09,Melitaea athalia,1
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,948ff50b-79b0-4a74-9b28-fb960cbdefd3,2016-06-09,Brenthis ino,3
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,948ff50b-79b0-4a74-9b28-fb960cbdefd3,2016-06-09,Callophrys rubi,2
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,948ff50b-79b0-4a74-9b28-fb960cbdefd3,2016-06-09,Gonepteryx rhamni,3
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,948ff50b-79b0-4a74-9b28-fb960cbdefd3,2016-06-09,Melitaea athalia,1
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,a4e80c45-823d-46c5-8740-696c4377d175,2016-06-09,Boloria euphrosyne,3
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,a4e80c45-823d-46c5-8740-696c4377d175,2016-06-09,Gonepteryx rhamni,1
005b7cff-0266-4eb6-9f99-4d6f37b706da,e0a3c18a-3149-4f78-92e4-eee910d8bbfc,a4e80c45-823d-46c5-8740-696c4377d175,2016-06-09,Lycaena virgaureae,1
